bird, el pájaro
bull, el toro
cat, el gato
chicken, el pollo
cow, la vaca
dog, el perro
donkey, el burro
duck, el pato
fish, el pez
goat, la cabra
hen, la gallina
horse, el caballo
mosquito, el mosquito
moth, la polilla
pig, el cerdo
puppy, el cachorro
rabbit, el conejo
roach, la cucaracha
rooster, el gallo
sheep, la oveja
turtle, la tortuga
eagle, águila
bear, oso
deer, ciervo
dinosaur, dinosaurio
elephant, elefante
gorilla, gorila
lion, león
lizard, lagarto
monkey, mono
mouse, ratón
owl, búho
snake, serpiente
tiger, tigre
spider, araña
zebra, cebra
snail, caracol
crocodile, cocodrilo
beetle, escarabajo
hippopotamus, hipopótamo
ant, hormiga
giraffe, jirafa
fly, mosca
fox, zorro
wolf, lobo
kangaroo, canguro
bat, murciélago
pigeon, paloma
bee, abeja
butterfly, mariposa
dolphin,delfín
octopus,pulpo
orca,orca
salmon,salmón
shark,tiburón
tuna,atún
whale,ballena
crab,cangrejo
seal,foca
penguin,pingüino
squid,calamar
lobster,langosta
jellyfish,medusa
fish, el pez
