lo sport,l'esport
la cultura,la cultura
le festività,les festes
il cibo; il mangiare,el menjar
l'arte,l'art
l'architettura,l'arquitectura
la gente,la gent
la natura, la naturalesa
lingua; lingue, llengua; llengües
lettere e suoni, lletres i sons
parola; parole, paraula; paraules
marocchino/marocchina; marocchini/marocchine,marroquí/marroquina; marroquins/marroquines
rumeno/rumena; rumeni/rumene,romanès/romanesa; romanesos/romaneses
cinese; cinesi,xinès/xinesa; xinesos/xineses
italiano/italiana; italiani/italiane,italià/italiana; italians/italianes
pakistano/pakistana; pakistani/pakistane,pakistanès/pakistanesa; pakistanesos/pakistaneses
francese; francesi,francès/francesa; francesos/franceses
equadoriano/equadoriana; equadoriani/equadoriane,equatorià/equatoriana; equatorians/equatorianes
colombiano/colombiana; colombiani/colombiane,colombià/colombiana; colombians/colombianes
honduregno/honduregna; honduregni/honduregne,hondureny/hondurenya; hondurenys/hondurenyes
russo/russa; russi/russe,rus/russa; russos/russes
senegalese; senegalesi,senegalès/senegalesa; senegalesos/senegaleses
inglese; inglesi,anglès/anglesa; anglesos/angleses
tedesco/tedesca; tedeschi/tedesche,alemany/alemanya; alemanys/alemanyes
peruviano/peruviana; peruviani/peruviane,peruà/peruana; peruans/peruanes
argentino/argentina; argentini/argentine,argentí/argentina; argentins/argentines
brasiliano/brasiliana; brasiliani/brasiliane,brasiler/brasilera; brasilers/brasileres
l'arabo,l'àrab
l'urdu,l'urdú
la bambola; le bambole,la nina; les nines
il tulipano; i tulipani,la tulipa; les tulipes
io sono,jo soc
tu sei,tu ets
lui/lei/Lei è,ell/ella/vostè és
io mi chiamo,jo em dic
tu ti chiami,tu et dius
lui/lei/Lei si chiama,ell/ella/vostè es diu
io ho,jo tinc
tu hai,tu tens
lui/lei/Lei ha,ell/ella/vostè té
io parlo,jo parlo
tu parli,tu parles
lui/lei/Lei parla,ell/ella/vostè parla
io studio,jo estudio
tu studi,tu estudies
lui/lei/Lei studia,ell/ella/vostè estudia
zero; uno; due; tre,zero; u; dos; tres
quattro; cinque; sei; sette,quatre; cinc; sis; set
otto; nove; dieci; undici,vuit; nou; deu; onze
dodici; tredici; quattordici; quindici,dotze; tretze; catorze; quinze
sedici; diciassette; diciotto; diciannove,setze; disset; divuit; dinou
