il padre; i padri,el pare; els pares
la madre; le madri,la mare; les mares
i genitori,els pares
il fratello; i fratelli,el germà; els germans
la sorella; le sorelle,la germana; les germanes
il figlio; i figli,el fill; els fills
la figlia; le figlie,la filla; les filles
il nonno; i nonni,l'avi; els avis
la nonna; le nonne,l'àvia; les àvies
il nipote (di nonni); i nipoti,el nét; els néts
la nipote (di nonni); le nipoti,la néta; les nétes
il nipote (di zii); i nipoti,el nebot; els nebots
la nipote (di zii); le nipoti,la neboda; les nebodes
lo zio; gli zii,el tiet; els tiets
la zia; le zie,la tieta; les tietes
il cognato; i cognati,el cunyat; els cunyats
la cognata; le cognate,la cunyada; les cunyades
il suocero; i suoceri,el sogre; els sogres
la suocera; le suocere,la sogra; les sogres
il genero,el gendre
la nuora,la nora
il cugino; i cugini,el cosí; els cosins
la cugina; le cugine,la cosina; les cosines
il marito; i mariti,el marit; els marits
la moglie; le mogli,la dona; les dones
il/la partner; i partner,la parella; les parelles
il fidanzato; i fidanzati,el xicot; els xicots
la fidanzata; le fidanzate,la xicota; les xicotes
vedovo/vedova; vedovi/vedove,vidu/vídua; vidus/vídues
sposato/sposata; sposati/sposate,casat/casada; casats/casades
single (nubile/celibe); single (pl.),solter/soltera; solters/solteres
simpatico/simpatica; simpatici/simpatiche,simpàtic/simpàtica; simpàtics/simpàtiques
antipatico/antipatica; antipatici/antipatiche,antipàtic/antipàtica; antipàtics/antipàtiques
divertente; divertenti,divertit/divertida; divertits/divertides
serio/seria; seri/serie,seriós/seriosa; seriosos/serioses
estroverso/estroversa; estroversi/estroverse,extravertit/extravertida; extravertits/extravertides
introverso/introversa; introversi/introverse,introvertit/introvertida; introvertits/introvertides
timido/timida; timidi/timide,tímid/tímida; tímids/tímides
allegro/allegra; allegri/allegre,alegre; alegres
socievole; socievoli,sociable; sociables
aperto/aperta; aperti/aperte,obert/oberta; oberts/obertes
gentile; gentili,amable; amables
sincero/sincera; sinceri/sincere,sincer/sincera; sincers/sinceres
lavoratore/lavoratrice; lavoratori/lavoratrici,treballador/treballadora; treballadors/treballadores
dolce; dolci,dolç/dolça; dolços/dolces
biondo/bionda; biondi/bionde,ros/rossa; rossos/rosses
moro/mora; mori/more,morè/morena; morens/morenes
attraente; attraenti,atractiu/atractiva; atractius/atractives
alto/alta; alti/alte,alt/alta; alts/altes
moltissimo,moltíssim
molto,molt
parecchio; abbastanza,força; bastant
un po',una mica
non... granché (con negazione),gaire
per niente (con negazione),gens
assolutamente per niente,gens ni mica
mi piace (+ infinito/nome sing.),m'agrada
mi piacciono (+ nomi plurali),m'agraden
adoro/mi piace moltissimo,m'encanta
adoro/mi piacciono moltissimo (plurale),m'encanten
non mi piace,no m'agrada
non mi piacciono,no m'agraden
ti piace? (informale),t'agrada?
gli/le piace (a lui/lei),li agrada
ci piace (a noi),ens agrada
vi piace (a voi),us agrada
gli piace (a loro),els agrada
anche a me! (accordo positivo),a mi; també!
neanche a me! (accordo negativo),a mi; tampoc!
a me no (disaccordo),doncs a mi; no.
a me sì (disaccordo),doncs a mi; sí!
noi siamo,nosaltres som
voi siete,vosaltres sou
loro sono,ells/elles/vostès són
noi abbiamo,nosaltres tenim
voi avete,vosaltres teniu
loro hanno,ells/elles/vostès tenen
noi ci chiamiamo,nosaltres ens diem
voi vi chiamate,vosaltres us dieu
loro si chiamano,ells/elles/vostès es diuen
io lavoro,jo treballo
tu lavori,tu treballes
lui/lei lavora,ell/ella/vostè treballa
noi lavoriamo,nosaltres treballem
voi lavorate,vosaltres treballeu
loro lavorano,ells/elles/vostès treballen
io faccio,jo faig
tu fai,tu fas
lui/lei fa,ell/ella/vostè fa
noi facciamo,nosaltres fem
voi fate,vosaltres feu
loro fanno,ells/elles/vostès fan
io vivo,jo visc
tu vivi,tu vius
lui/lei vive,ell/ella/vostè viu
noi viviamo,nosaltres vivim
voi vivete,vosaltres viviu
loro vivono,ells/elles/vostès viuen
Hai fratelli?,Tens germans?
Sei sposato/a?,Estàs casat/casada?
Hai un fidanzato/una fidanzata?,Tens xicot/xicota?
Avete un indirizzo email?,Teniu correu electrònic?
Ehi; cosa c'è?,Ei; què hi ha?
Come vi chiamate?,Com us dieu?
Qual è il tuo migliore amico?,Qui és el teu millor amic?
il mio/la mia; i miei/le mie,el meu/la meva; els meus/les meves
il tuo/la tua; i tuoi/le tue,el teu/la teva; els teus/les teves
il suo/la sua (di lui/lei/Lei); i suoi/le sue,el seu/la seva; els seus/les seves
il nostro/la nostra; i nostri/le nostre,el nostre/la nostra; els nostres/les nostres
il vostro/la vostra; i vostri/le vostre,el vostre/la vostra; els vostres/les vostres
il loro (di loro); i loro/le loro,el seu/la seva (d'ells); els seus/les seves
questo/questa; questi/queste (vicino),aquest/aquesta; aquests/aquestes
quello/quella; quelli/quelle (lontano),aquell/aquella; aquells/aquelles
l'albero genealogico,l'arbre genealògic
il numero di telefono,el número de telèfon
