la mattina,el matí
il mezzogiorno,el migdia
il pomeriggio,la tarda
la sera,el vespre
la notte,la nit
la notte fonda/le prime ore del mattino,la matinada
lunedì,dilluns
martedì,dimarts
mercoledì,dimecres
giovedì,dijous
venerdì,divendres
sabato,dissabte
domenica,diumenge
mattiniero/mattiniera; mattinieri/mattiniere,matiner/matinera; matiners/matineres
dormiglione/dormigliona; dormiglioni/dormiglione,dormilega; dormilegues
attivo/attiva; attivi/attive,actiu/activa; actius/actives
puntuale; puntuali,puntual; puntuals
salutare; salutari,saludable; saludables
che fa sempre tardi; che fanno sempre tardi,tocatardà; tocatardans
pigro/pigra; pigri/pigre,mandrós/mandrosa; mandrosos/mandroses
sempre,sempre
ogni giorno,cada dia
spesso,sovint
di tanto in tanto,de tant en tant
a volte,a vegades; de vegades
qualche volta,alguna vegada
poche volte,poques vegades
mai (con negazione),mai
una volta; due volte (frequenza),un cop; dues vegades
che ora è?/hai l'ora?,quina hora és?/tens hora?
è l'una,és la una
sono le due,són les dues
è l'una e un quarto (12.15),és un quart d'una
è l'una e mezza (12.30),són dos quarts d'una
è l'una e tre quarti (12.45),són tres quarts d'una
a che ora apre/chiude?,a quina hora obre/tanca?
dalle otto alle tre,des de les vuit fins a les tres
tra l'una e le tre,entre la una i les tres
prima di andare a dormire,abans d'anar-me'n a dormir
dopo aver lavato i denti,després de rentar-me les dents
dopo aver pranzato,havent dinat
dopo aver cenato,havent sopat
il negozio; i negozi,la botiga; les botigues
il supermercato; i supermercati,el supermercat; els supermercats
la farmacia; le farmacie,la farmàcia; les farmàcies
la banca; le banche,el banc; els bancs
il forno/panetteria; i forni,el forn; els forns
la pasticceria; le pasticcerie,la pastisseria; les pastisseries
il parrucchiere; i parrucchieri,la perruqueria; les perruqueries
la sala mostre; le sale mostre,la sala d'exposicions; les sales d'exposicions
il negozio di alimentari,la botiga de queviures
l'ufficio postale; gli uffici postali,l'oficina de correus; les oficines de correus
mi alzo,em llevo
mi faccio la doccia,em dutxo
mi rado/mi faccio la barba,m'afaito
mi vesto,em visto
mi addormento,m'adormo
mi stendo (sul divano),m'estiro
faccio colazione,esmorzo
pranzo,dino
ceno,sopo
guardo la TV,miro la tele
leggo,llegeixo
faccio sport,faig esport
nuoto,nedo
mi lavo i denti,em rento les dents
passo l'aspirapolvere,passo l'aspiradora
scopo,escombro
stiro,planxo
cucino,cuino
faccio yoga,faig ioga
prendo il sole,prenc el sol
fumo,fumo
discuto/litigo,discuteixo
vado in bicicletta,vaig amb bicicleta
mi connetto a internet,em connecto a internet
mi rilasso,em relaxo
navigo su internet,navego per internet
faccio la pennichella/il pisolino,faig la migdiada
io corro,jo corro
tu corri,tu corres
lui/lei corre,ell/ella/vostè corre
noi corriamo,nosaltres correm
voi correte,vosaltres correu
loro corrono,ells/elles/vostès corren
io scrivo,jo escric
tu scrivi,tu escrius
lui/lei scrive,ell/ella/vostè escriu
noi scriviamo,nosaltres escrivim
voi scrivete,vosaltres escriviu
loro scrivono,ells/elles/vostès escriuen
io bevo,jo bec
tu bevi,tu beus
lui/lei beve,ell/ella/vostè beu
noi beviamo,nosaltres bevem
voi bevete,vosaltres beveu
loro bevono,ells/elles/vostès beuen
io prendo,jo prenc
tu prendi,tu prens
lui/lei prende,ell/ella/vostè pren
noi prendiamo,nosaltres prenem
voi prendete,vosaltres preneu
loro prendono,ells/elles/vostès prenen
io sto,jo estic
tu stai,tu estàs
lui/lei sta,ell/ella/vostè està
noi stiamo,nosaltres estem
voi state,vosaltres esteu
loro stanno,ells/elles/vostès estan
io me ne vado,jo me'n vaig
tu te ne vai,tu te'n vas
lui/lei se ne va,ell/ella/vostè se'n va
noi ce ne andiamo,nosaltres ens en anem
voi ve ne andate,vosaltres us en aneu
loro se ne vanno,ells/elles/vostès se'n van
chiudere,tancar
iniziare/cominciare,començar
finire il turno di lavoro,plegar
mangiare (verbo),menjar
