La testa, La cabeza
I capelli, El pelo
Il viso, La cara
La fronte, La frente
L'occhio, El ojo
Il sopracciglio, La ceja
Il ciglio, La pestaña
Il naso, La nariz
L'orecchio, La oreja
La guancia, La mejilla
La bocca, La boca
Il labbro, El labio
Il dente, El diente
La lingua, La lengua
Il mento, La barbilla
Il collo, El cuello
La gola, La garganta
La spalla, El hombro
Il braccio, El brazo
Il gomito, El codo
Il polso, La muñeca
La mano, La mano
Il dito, El dedo
L'unghia, La uña
Il petto, El pecho
La schiena, La espalda
Lo stomaco, El estómago
La pancia, La barriga
La vita, La cintura
Il fianco, La cadera
La gamba, La pierna
La coscia, El muslo
Il ginocchio, La rodilla
Il polpaccio, La pantorrilla
La caviglia, El tobillo
Il piede, El pie
Il dito del piede, El dedo del pie
Il tallone, El talón
Il cuore, El corazón
L'osso, El hueso
La pelle, La piel
Il muscolo, El músculo
Il cervello, El cerebro
Il sangue, La sangre
L'avambraccio, El antebrazo
L'ascella, La axila
Il tronco, El tronco
L'addome, El abdomen
L'ombelico, El ombligo
La nuca, La nuca
L'inguine, La ingle
La natica, La nalga
Il seno, La mama
Il pube, El pubis
Il pene, El pene
Lo scroto, El escroto
La vulva, La vulva
Il bicipite, El bíceps
Il tricipite, El tríceps
Il deltoide, El deltoides
Il pettorale, El pectoral
Gli addominali, Los abdominales
Il quadricipite, El cuádriceps
Il gluteo, El glúteo
Il trapezio, El trapecio
Il gran dorsale, El dorsal ancho
Il diaframma, El diafragma
Il polmone, El pulmón
Il fegato, El hígado
Il rene, El riñón
L'intestino, El intestino
La milza, El bazo
Il pancreas, El páncreas
La cistifellea, La vesícula biliar
La vescica, La vejiga
L'esofago, El esófago
La trachea, La tráquea
I bronchi, Los bronquios
Il cranio, El cráneo
La mandibola, La mandíbula
La clavicola, La clavícula
La scapola, La escápula
Lo sterno, El esternón
La costola, La costilla
La colonna vertebrale, La columna vertebral
La vertebra, La vértebra
L'omero, El húmero
Il radio, El radio
L'ulna, El cúbito
Il femore, El fémur
La rotula, La rótula
La tibia, La tibia
Il perone, El peroné
Il bacino, La pelvis
Il pollice, El pulgar
L'indice, El índice
Il medio, El dedo corazón
L'anulare, El anular
Il mignolo, El meñique
L'alluce, El dedo gordo del pie
Il mignolo del piede, El dedo pequeño del pie
