cabbage; El repollo/La col
carrot; La zanahoria
cauliflower; La coliflor
cucumber; El pepino
garlic; El ajo
lettuce; La lechuga
mushrooms; Los champiñones
pepper; El pimiento
broccoli; El brócoli
onion; La cebolla
potato; La papa (SA) / La patata
sweet corn; El maíz
tomato; El tomate
peas; Las arvejas/Los guisantes
aubergine; La berenjena
leek; El puerro
spinach; La espinaca
apple; La manzana
grape; La uva
watermelon; La sandía
banana; El plátano
strawberry; La fresa
pineapple; La piña
melon; El melón
orange; La naranja
peach; El melocotón
pear; La pera
lemon; El limón
kiwi; El kiwi
lime; La lima
mango; El mango
plum; La ciruela
raspberry; La frambuesa
currant; La grosella
blackberry; La zarzamora
blueberry; El arándano
passion fruit; El maracuyá
pomegranate; La granada
