to shine,scheinen
it seems so,es scheint so
to appear / to come out,erscheinen
he appears,er erscheint
the film,der Film
soon,bald
the film is coming out soon,der Film erscheint bald
to clarify / to sort out,klären
we must,wir müssen
we have to sort it out,wir müssen es klären
to explain,erklären
to me,mir
can you explain it to me?,kannst du es mir erklären?
to say,sagen
he says / he's saying,er sagt
she's telling me,sie sagt mir
she's telling it to me,sie sagt es mir
what,was
something,etwas
she's telling me something,sie sagt mir etwas
what are you telling me?,was sagst du mir?
what must you tell me?,was musst du mir sagen?
you don't have to tell it to me,du musst es mir nicht sagen
nothing,nichts
you don't have to tell me anything,du musst mir nichts sagen
us / to us,uns
they're saying it to us,sie sagen es uns
they're not saying anything to us,sie sagen uns nichts
they're saying something to us,sie sagen uns etwas
one says / how do you say,man sagt
how,wie
how do you say it in German?,wie sagt man es auf Deutsch?
to do / to make,machen
how do you do it?,wie macht man es?
like this / so,so
one does it like this,man macht es so
to open,aufmachen
it is open,es ist auf
to close,zumachen
it is closed,es ist zu
to turn on,anmachen
it is on,es ist an
I may / I'm allowed,ich darf
may I open it?,darf ich es aufmachen?
I must / I have to,ich muss
I have to turn it on,ich muss es anmachen
not yet,noch nicht
you don't have to turn them on yet,du musst sie noch nicht anmachen
I mustn't turn it on,ich darf es nicht anmachen
you may / you're allowed,du darfst
how are you?,wie geht's?
to see,sehen
to look at,ansehen
to watch,zusehen
to look (as in look good),aussehen
goodbye (until we see again),auf Wiedersehen
to overlook,übersehen
to take care,vorsehen
warning / caution,Vorsicht
to remove / to agree on,abmachen
to lay / to put down,legen
opportunity,die Gelegenheit
childhood,die Kindheit
this is the opportunity,das ist die Gelegenheit
to hang up (the phone),auflegen
to display / to front (pay for someone),auslegen
I want,ich will
you want,du willst
to want,wollen
we want,wir wollen
I can,ich kann
you can,du kannst
to be able / can,können
we can,wir können
to have to / must,müssen
you have to,du musst
to know (a fact),wissen
they know,sie wissen
white,weiss
I know,ich weiss
you know,du weisst
to take,nehmen
can he take it now?,kann er es jetzt nehmen?
can't she take it yet?,kann sie es noch nicht nehmen?
with,mit
to take away,mitnehmen
can we take it away?,können wir es mitnehmen?
to be allowed / may,dürfen
he's not allowed to come,er darf nicht kommen
to come with / to accompany,mitkommen
may he come with (me)?,darf er mitkommen?
I have,ich habe
to laugh,lachen
I laughed / I have laughed,ich habe gelacht
I have done it,ich habe es gemacht
I haven't done it,ich habe es nicht gemacht
I haven't done it yet,ich habe es noch nicht gemacht
you have,du hast
haven't you done it yet?,hast du es noch nicht gemacht?
why,warum
he has,er hat
why hasn't he done it yet?,warum hat er es noch nicht gemacht?
yesterday,gestern
why hasn't he done it yesterday?,warum hat er es gestern nicht gemacht?
to buy,kaufen
I bought it,ich habe es gekauft
I haven't bought it yet,ich habe es noch nicht gekauft
to bring,bringen
brought,gebracht
why haven't you brought it to me yet?,warum hast du es mir noch nicht gebracht?
to understand,verstehen
understood,verstanden
I understood / I have understood,ich habe verstanden
I didn't understand anything,ich habe nichts verstanden
he waits,er wartet
he's waiting for me,er wartet auf mich
he has waited for me,er hat auf mich gewartet
to cost,kosten
it costs,es kostet
how much,wie viel
how much does it cost?,wie viel kostet es?
how much did it cost?,wie viel hat es gekostet?
what have you done?,was hast du gemacht?
what did they say to you?,was haben sie dir gesagt?
much,viel
so much,so viel
why did it cost so much?,warum hat es so viel gekostet?
to find,finden
found,gefunden
we found it,wir haben es gefunden
I have seen,ich habe gesehen
I saw her,ich habe sie gesehen
him,ihn
I saw him,ich habe ihn gesehen
I saw him yesterday,ich habe ihn gestern gesehen
she / her / they / them,sie
he,er
for,für
I made it for him,ich habe es für ihn gemacht
to search,suchen
to try,versuchen
to visit,besuchen
I want to visit him,ich will ihn besuchen
to pick out,aussuchen
I'm doing it tomorrow,ich mache es morgen
I'm opening it tomorrow,ich mache es morgen auf
I will close it tomorrow,ich mache es morgen zu
I try / I'm trying,ich versuche
I understand,ich verstehe
I'm visiting him tomorrow,ich besuche ihn morgen
I'll pick it out tomorrow,ich suche es morgen aus
to arrive,ankommen
I'm arriving tomorrow,ich komme morgen an
we want to arrive tomorrow,wir wollen morgen ankommen
they're arriving tomorrow,sie kommen morgen an
can you turn it on?,Kannst du es anmachen?
I'm turning it on,Ich mache es an.
I'm trying,Ich versuche.
I have tried / I tried,Ich habe versucht.
I have visited him,Ich hab ihn besucht.
to sell,verkaufen
have you sold it?,Hast du es verkauft?
why haven't you bought it yet?,Warum hast du es noch nicht gekauft?
turned on (past participle),angemacht
opened (past participle),aufgemacht
today,heute
have you chosen it?,Hast du es ausgesucht?
to wait,warten
waited (past participle),gewartet
I have waited for you,Ich habe auf dich gewartet.
seen (past participle),gesehen
to eat,essen
eaten (past participle),gegessen
already,schon
have you eaten already?,Hast du schon gegessen?
still nothing / nothing yet,noch nichts
the telephone,das Telefon
the television,der Fernseher
the lamp,die Lampe
to turn off,ausmachen
now,jetzt
you must turn it off now,Du musst es jetzt ausmachen.
turned off (past participle),ausgemacht
to study,studieren
to mark,markieren
to correct,korrigieren
you must correct me,Du musst mich korrigieren.
to serve,servieren
I have studied,Ich habe studiert.
long,lange
to organise,organisieren
organised (past participle),organisiert
the day before yesterday,vorgestern
everything / all,alles
to collaborate,kollaborieren
to intervene,intervenieren
to get / understand (colloquial),kapieren
got it (past participle),kapiert
I didn't get it,Ich habe es nicht kapiert.
to repair,reparieren
I have repaired it,Ich habe es repariert.
the train (from 'to pull'),der Zug
the train (also 'track'),die Bahn
I'm taking the train,Ich nehme die Bahn.
tomorrow,morgen
the day after tomorrow,übermorgen
