me,mich
to me,mir
you,dich
to you,dir
her,sie
to her,ihr
him,ihn
to him,ihm
to leave behind / bequeath,vermachen
the house,das Haus
he left me the house,Er hat mir das Haus vermacht.
to say / tell,sagen
what did you tell her?,Was hast du ihr gesagt?
something,etwas
but,aber
to give,geben
given (past participle),gegeben
they're giving me something,Sie geben mir etwas.
to live,leben
to believe,glauben
silver,Silber
seven,sieben
to give away,weggeben
given away (past participle),weggegeben
child,Kind
to help,helfen
can you help me?,Kannst du mir helfen?
nobody,niemand
to forgive,vergeben
I forgive you,Ich vergebe dir.
to ask,fragen
I want to ask you something,Ich will dich etwas fragen.
I have asked you something,Ich habe dich etwas gefragt.
us,uns
they are waiting for us,Sie warten auf uns.
to speak,sprechen
to bring up in conversation / appeal to,ansprechen
it speaks to me (I like it),Es spricht mich an.
to pronounce,aussprechen
spoken (past participle),gesprochen
beautiful,schön
good / well,gut
to promise,versprechen
to break,brechen
to break (colloquial),kaputtmachen
you broke it,Du hast es kaputt gemacht.
to teach,lehren
the teacher (male),der Lehrer
to interrupt,unterbrechen
always,immer
broken (past participle),gebrochen
the teacher always interrupts me,Der Lehrer unterbricht mich immer.
I have interrupted the teacher,Ich habe den Lehrer unterbrochen.
to the teacher (dative),dem Lehrer
she breaks,Sie bricht
she gives,Sie gibt
the teacher (female),die Lehrerin
to love,lieben
to the teacher (feminine dative),der Lehrerin
there is / there are,es gibt
is there rice?,Gibt es Reis?
still / any left,noch
the cook (male),der Koch
the cook (female),die Köchin
have you seen the cook?,Hast du den Koch gesehen?
to arrive,ankommen
a train (accusative),einen Zug
the elevator,der Aufzug
I'm waiting for the elevator,Ich warte auf den Aufzug.
the elevator is broken,Der Aufzug ist kaputt.
a friend (male) / boyfriend,ein Freund
a friend (female) / girlfriend,eine Freundin
my friend is waiting for a train,Mein Freund wartet auf einen Zug.
friends (plural),die Freunde
to them,ihnen
to send,senden
I'll send them an email tomorrow,Ich sende ihnen eine Mail morgen.
to write,schreiben
children,die Kinder
to the children (dative plural),den Kindern
cooks (plural),die Köche
you wait,du wartest
must / have to,müssen
we must send it to the cooks,Wir müssen es den Köchen senden.
to be,sein
I am,ich bin
you are,du bist
we are,wir sind
they are,sie sind
fat,dick
thin,dünn
too (much),zu
Thursday,Donnerstag
Monday,Montag
Wednesday,Mittwoch
Sunday,Sonntag
to go,gehen
gone (past participle),gegangen
he went on Thursday,Er ist am Donnerstag gegangen.
to go out,ausgehen
did you go out?,Bist du ausgegangen?
I came yesterday,Ich bin gestern gekommen.
