the bank, el banco
climate, el clima
language, el idioma
poem, el poema
program, el programa
system, el sistema
camicia, la blusa
bag, la bolsa
bed, la cama
meal, la comida
church, la iglesia
lamp, la lampara
table, la mesa
chair, la silla
store, la tienda
window, la ventana
truth, la verdad
friendship, la amistad
skin, la piel
luck, la suerte
light, la luz
flower, LA flor
manager, el/la gerente
mirror, el espejo
poltrona, el sillón
divano, el sofá
ticket, el tiquete
suitcase, la maleta
pen, la pluma
page, la página
boat, la barca (pequeña); el barco (grande)
classe, la clase
aula, la aula
shoe/shoes, el zapato/los zapatos
doll, la muñeca
bedroom, la alcoba
cabinet, el gabinete
rug, la alfombra
oven, el horno
ballpoint, el bolígrafo
pencil, pen el lápiz
kitchen, la cocina
wood, la madera
collection, la colección
refrigerator, la nevera
dining, el comedor
wall, la pared
curtain, la cortina
yard, el patio
notebook, el cuaderno
living room, la sala
study, el estudio
entryway, el vestíbulo
stove, la estufa
video, el video
tuttavia; still, todavía
tree, el árbol
floor, el piso
room, el quarto; la pieza
camera d'albergo, la habitación
newspaper, el periódico
magazine, la revista
year, el año
pencil, el lápiz
tree, el árbol
message, el mensaje
elevator, el ascensor
month, el mes
airplane, el avión
child, el niño
penna a sfera, el bolígrafo
country, el país
bus, el bus
paper, el papel
countryside, el campo
park, el parque
car, el coche
newspaper, el periódico
room, el cuarto
floor, el piso
birthday, el cumpleaños
price, el precio
day, el día
noise, el ruido
money, el dinero
classroom, el salón
building, el edificio
place, el sitio
baggage, el equipaje
dream, el sueño
home, el hogar
theater, el teatro
garden, el jardín
theme, el tema
biro, el lapicero
trip, el viaje
avenue, la avenida
leaf, la hoja
library, la biblioteca
bookstore, la librería
street, la calle
key, la llave
shirt, la camisa
medicine, la medicina
letter, la carta
music, la música
city, la ciudad
play, la obra
kitchen, la cocina
page, la página
check;the bill, la cuenta
word, la palabra
shower, la ducha
wall, la pared
entrance, la entrada
beach, la playa
stairs, la escalera
question, la pregunta
school, la escuela
door, la puerta
party, la fiesta
exit, la salida
sentence, la frase
health, la salud
people, la gente
week, la semana
war, la guerra
homework, la tarea
postcard, la tarjeta
while, mientras
poverty, la pobreza
